id               cut              feas_iter        end_iter         runtime          num_conscuts     num_sol          used_sol         opt_welfare      alpha            exp_welfare      efficiency       abs_dev          var              std_dev          coeff_var        decomp_obj      
1                central          19               19               1.351673         11               3                3                13128.870344     2.000000         6564.435172      0.272727         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
2                central          19               100              5.029970         67               7                4                13128.870344     2.000000         6564.435172      0.104478         4027.854464      18766388.431549  4332.018979      0.659923         1.000000        
3                central          19               1000             46.125835        777              7                4                13128.870344     2.000000         6564.435172      0.009009         4027.854464      18766388.431549  4332.018979      0.659923         1.000000        
4                shallow          29               29               1.348915         16               3                3                13128.870344     2.000000         6564.435172      0.187500         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
5                shallow          29               100              4.465423         54               3                3                13128.870344     2.000000         6564.435172      0.055556         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
6                shallow          29               1000             43.100794        621              15               5                13128.870344     2.000000         6564.435172      0.024155         4926.859217      26658616.757448  5163.198307      0.786541         1.000000        
7                deep             18               18               0.828949         10               3                3                13128.870344     2.000000         6564.435172      0.300000         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
8                deep             18               100              3.447125         61               3                3                13128.870344     2.000000         6564.435172      0.049180         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
9                deep             18               832              24.336324        549              3                3                13128.870344     2.000000         6564.435172      0.005464         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
11               central          0                0                0.000000         0                3                3                13128.870344     2.000000         6564.435172      Infinity         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
12               deep             11               11               0.714943         5                3                3                13128.870344     2.000000         6564.435172      0.600000         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
13               deep             11               100              3.083708         51               3                3                13128.870344     2.000000         6564.435172      0.058824         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
14               deep             11               1000             26.638894        580              3                3                13128.870344     2.000000         6564.435172      0.005172         5253.539672      28150249.483955  5305.680869      0.808246         1.000000
15               central          51               51               2.602892         29               3                3                13128.870344     2.000000         6564.435172      0.103448         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
16               central          51               100              4.788922         65               7                4                13128.870344     2.000000         6564.435172      0.107692         4027.854464      18766388.431549  4332.018979      0.659923         1.000000        
17               central          51               1000             44.851850        778              7                4                13128.870344     2.000000         6564.435172      0.008997         4027.854464      18766388.431549  4332.018979      0.659923         1.000000
18               central          89               89               13.318920        74               3                3                13128.870344     2.000000         6564.435172      0.040541         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
19               central          89               100              13.858189        82               3                3                13128.870344     2.000000         6564.435172      0.036585         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
20               central          89               1000             53.618276        755              3                3                13128.870344     1.500000         6564.435172      0.003974         5253.539672      28150249.483955  5305.680869      0.808246         1.000000
21               central          76               76               3.643847         48               5                4                13128.870344     1.100000         8752.580229      0.104167         4143.999681      20696390.056984  4549.328528      0.519770         1.000000        
22               central          0                1000             46.017836        777              7                3                13128.870344     2.000000         11935.336676     0.009009         2233.861860      16748519.004078  4092.495449      0.342889         1.186122        
23               central          92               92               7.449096         72               3                3                13128.870344     2.000000         6564.435172      0.041667         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
24               central          92               100              6.201581         78               3                3                13128.870344     2.000000         6564.435172      0.038462         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
25               central          92               1000             22.232328        793              7                4                13128.870344     2.000000         6564.435172      0.008827         4027.854464      18766388.431549  4332.018979      0.659923         1.000000        
26               central          19               19               1.095019         11               3                3                13128.870344     2.000000         6564.435172      0.272727         5253.539672      28150249.483955  5305.680869      0.808246         1.000000        
27               central          19               100              2.589559         67               7                3                13128.870344     2.000000         6564.435172      0.104478         3242.463943      11064142.823921  3326.280629      0.506712         1.000000        
28               central          19               1000             20.062826        777              7                3                13128.870344     2.000000         6564.435172      0.009009         3242.463943      11064142.823921  3326.280629      0.506712         1.000000        
