id               cut              feas_iter        end_iter         runtime          num_conscuts     num_sol          used_sol         opt_welfare      alpha            exp_welfare      efficiency       abs_dev          var              std_dev          coeff_var        decomp_obj      
1                central          12               12               0.393215         7                5                3                1299.888920      2.000000         649.944460       0.714286         268.410379       76558.048073     276.691250       0.425715         1.000000        
2                central          12               100              0.862735         72               20               6                1299.888920      2.000000         649.944460       0.277778         398.903004       178909.534380    422.976990       0.650789         1.000000        
3                central          12               1000             5.390025         872              125              5                1299.888920      2.000000         649.944460       0.143349         563.369935       334180.808610    578.083738       0.889436         1.000000        
4                shallow          22               22               0.095841         12               7                3                1299.888920      2.000000         649.944460       0.583333         446.167002       203578.910028    451.197196       0.694209         1.000000        
5                shallow          22               100              0.405877         56               14               5                1299.888920      2.000000         649.944460       0.250000         345.574638       153353.015628    391.603135       0.602518         1.000000        
6                shallow          22               1000             4.180540         684              38               6                1299.888920      2.000000         649.944460       0.055556         417.636963       195733.138391    442.417380       0.680700         1.000000        
7                deep             11               11               0.061973         6                5                3                1299.888920      2.000000         649.944460       0.833333         268.410379       76558.048073     276.691250       0.425715         1.000000        
8                deep             11               100              0.433358         71               20               6                1299.888920      2.000000         649.944460       0.281690         403.495531       176503.489860    420.123184       0.646399         1.000000        
9                deep             11               1000             5.079508         847              310              10               1299.888920      2.000000         649.944460       0.365998         215.376911       69030.833293     262.737194       0.404246         1.000000        
11               central          0                0                0.000000         0                3                3                1299.888920      2.000000         649.944460       Infinity         472.187837       227475.270316    476.943676       0.733822         1.000000   
12               deep             6                6                0.338081         3                3                3                1299.888920      2.000000         649.944460       1.000000         446.167002       203578.910028    451.197196       0.694209         1.000000        
13               deep             6                100              0.873519         59               15               5                1299.888920      2.000000         649.944460       0.254237         457.530455       227802.580880    477.286686       0.734350         1.000000        
14               deep             6                1000             5.389712         793              67               9                1299.888920      2.000000         649.944460       0.084489         409.601786       235156.189116    484.929056       0.746108         1.000000        
15               central          35               35               0.156185         20               7                3                1299.888920      2.000000         649.944460       0.350000         472.187837       227475.270316    476.943676       0.733822         1.000000        
16               central          35               100              0.433302         70               14               4                1299.888920      2.000000         649.944460       0.200000         325.671095       120045.846761    346.476329       0.533086         1.000000        
17               central          35               1000             5.231916         890              354              9                1299.888920      2.000000         649.944460       0.397753         323.507011       145145.455076    380.979599       0.586173         1.000000        
18               central          62               62               2.297040         54               17               3                1299.888920      2.000000         649.944460       0.314815         330.775165       113926.126390    337.529445       0.519320         1.000000        
19               central          62               100              2.460992         85               29               6                1299.888920      2.000000         649.944460       0.341176         324.986575       138702.030422    372.427215       0.573014         1.000000        
20               central          62               1000             7.094476         890              216              7                1299.888920      2.000000         649.944460       0.242697         257.015034       85550.630234     292.490393       0.450024         1.000000        
21               central          10               10               0.132809         6                4                4                1299.888920      1.500000         866.592614       0.666667         357.230759       147966.742574    384.664455       0.443882         1.000000        
22               central          0                1000             5.182408         872              125              6                1299.888920      1.100000         1181.717200      0.143349         112.772012       29991.887943     173.181662       0.146551         1.050505        
23               central          70               70               2.095400         58               23               7                1299.888920      2.000000         649.944460       0.396552         195.465091       53104.685726     230.444539       0.354560         1.000000        
24               central          70               100              1.541170         82               36               7                1299.888920      2.000000         649.944460       0.439024         467.050083       232962.280525    482.661663       0.742620         1.000000        
25               central          70               1000             4.880733         895              370              4                1299.888920      2.000000         649.944460       0.413408         139.774436       20816.367756     144.278785       0.221986         1.000000                      
26               central          12               12               0.423695         7                5                3                1299.888920      2.000000         649.944460       0.714286         268.410379       76558.048073     276.691250       0.425715         1.000000        
27               central          12               100              0.947911         72               20               3                1299.888920      2.000000         649.944460       0.277778         187.107991       39523.317134     198.804721       0.305880         1.000000        
28               central          12               1000             6.537110         872              125              6                1299.888920      2.000000         649.944460       0.143349         35.002775        2614.540756      51.132580        0.078672         1.000000        
