id               cut              feas_iter        end_iter         runtime          num_conscuts     num_sol          used_sol         opt_welfare      alpha            exp_welfare      efficiency       abs_dev          var              std_dev          coeff_var        decomp_obj      
1                central          11               11               11.941519        6                3                3                14638.708318     2.000000         7319.354159      0.500000         7154.266865      51187393.695286  7154.536581      0.977482         1.000000        
2                central          11               100              98.606853        55               14               5                14638.708318     2.000000         7319.354159      0.254545         7187.150126      51669653.697268  7188.160662      0.982076         1.000000        
3                central          11               1000             939.053509       762              159              8                14638.708318     2.000000         7319.354159      0.208661         7187.719917      51687210.528834  7189.381790      0.982243         1.000000        
4                shallow          11               11               10.675153        6                3                3                14638.708318     2.000000         7319.354159      0.500000         7154.266865      51187393.695286  7154.536581      0.977482         1.000000        
5                shallow          11               100              101.263765       52               20               4                14638.708318     2.000000         7319.354159      0.384615         6976.622698      48676908.682903  6976.883881      0.953210         1.000000        
6                shallow          11               1000             991.529032       532              153              11               14638.708318     2.000000         7319.354159      0.287594         6906.651526      47928792.204180  6923.062343      0.945857         1.000000        
7                deep             40               40               39.267300        21               10               3                14638.708318     2.000000         7319.354159      0.476190         6392.334530      40865800.070146  6392.636394      0.873388         1.000000        
8                deep             40               100              94.888903        57               28               7                14638.708318     2.000000         7319.354159      0.491228         6462.097007      41797160.666469  6465.072364      0.883285         1.000000        
9                deep             40               1000             874.003713       739              108              8                14638.708318     2.000000         7319.354159      0.146143         6668.353074      44536963.947987  6673.602022      0.911775         1.000000        
11               central          0                0                0.000000         0                3                3                14638.708318     2.000000         7319.354159      Infinity         7136.467615      50933029.349518  7136.738005      0.975050         1.000000        
12               deep             9                9                7.562432         4                3                3                14638.708318     2.000000         7319.354159      0.750000         7154.266865      51187393.695286  7154.536581      0.977482         1.000000        
13               deep             9                100              66.923585        41               9                5                14638.708318     2.000000         7319.354159      0.219512         7096.398649      50400239.952978  7099.312639      0.969937         1.000000        
14               deep             9                1000             780.397352       650              63               7                14638.708318     2.000000         7319.354159      0.096923         6865.690404      47210233.581303  6870.970352      0.938740         1.000000        
15               central          131              131              136.779861       70               31               4                14638.708318     2.000000         7319.354159      0.442857         5906.477536      34895244.857178  5907.219723      0.807068         1.000000        
16               central          0                100              106.389825       51               18               0                14638.708318     2.000000         0.000000         0.352941         0.000000         0.000000         0.000000         NaN              0.000000        
17               central          131              1000             988.625382       778              353              16               14638.708318     2.000000         7319.354159      0.453728         6114.131628      37582316.295436  6130.441770      0.837566         1.000000        
18               central          524              524              2824.749476      497              116              9                14638.708318     2.000000         7319.354159      0.233400         5583.572218      31183630.619491  5584.230531      0.762940         1.000000        
19               central          0                100              385.028121       100              1                0                14638.708318     2.000000         0.000000         0.010000         0.000000         0.000000         0.000000         NaN              0.000000        
20               central          524              1000             3349.381097      905              411              5                14638.708318     2.000000         7319.354159      0.454144         5565.021647      30979936.071330  5565.962277      0.760444         1.000000        
21               central          22               22               22.156424        12               6                5                14638.708318     1.500000         9759.138879      0.500000         6269.197431      44246038.936021  6651.769609      0.681594         1.000000        
22               central          0                1000             959.137512       762              159              8                14638.708318     1.100000         13307.916653     0.208661         2381.720564      17048394.077843  4128.970099      0.310264         1.014610        
26               central          11               11               5.026410         6                3                3                14638.708318     2.000000         7319.354159      0.500000         7154.266865      51187393.695286  7154.536581      0.977482         1.000000        
27               central          11               100              39.036025        55               14               4                14638.708318     2.000000         7319.354159      0.254545         6640.980083      44128550.953219  6642.932406      0.907585         1.000000        
28               central          11               1000             363.533044       762              159              3                14638.708318     2.000000         7319.354159      0.208661         6260.650686      39199606.343307  6260.958900      0.855398         1.000000        
