id               cut              feas_iter        end_iter         runtime          num_conscuts     num_sol          used_sol         opt_welfare      alpha            exp_welfare      efficiency       abs_dev          var              std_dev          coeff_var        decomp_obj      
1                central          8                8                0.257954         5                4                4                13816.680244     2.000000         6908.340122      0.800000         4027.374934      18811227.628516  4337.191214      0.627820         1.000000        
2                central          8                100              0.842946         76               10               4                13816.680244     2.000000         6908.340122      0.131579         4027.374934      18811227.628516  4337.191214      0.627820         1.000000        
3                central          8                1000             6.268618         831              10               4                13816.680244     2.000000         6908.340122      0.012034         4027.374934      18811227.628516  4337.191214      0.627820         1.000000        
4                shallow          24               24               0.102709         14               6                5                13816.680244     2.000000         6908.340122      0.428571         3633.516863      16176864.182772  4022.047263      0.582202         1.000000        
5                shallow          24               100              0.437530         61               10               4                13816.680244     2.000000         6908.340122      0.163934         4027.374934      18811227.628516  4337.191214      0.627820         1.000000        
6                shallow          24               1000             5.251221         773              10               4                13816.680244     2.000000         6908.340122      0.012937         4027.374934      18811227.628516  4337.191214      0.627820         1.000000        
7                deep             13               13               0.059846         7                5                4                13816.680244     2.000000         6908.340122      0.714286         3502.994130      14704142.441235  3834.598081      0.555068         1.000000        
8                deep             13               100              0.507911         71               10               4                13816.680244     2.000000         6908.340122      0.140845         4027.374934      18811227.628516  4337.191214      0.627820         1.000000        
9                deep             13               1000             6.262822         733              10               4                13816.680244     2.000000         6908.340122      0.013643         4027.374934      18811227.628516  4337.191214      0.627820         1.000000        
11               central          0                0                0.000000         0                4                3                13816.680244     2.000000         6908.340122      Infinity         3502.994130      12820740.633675  3580.606182      0.518302         1.000000        
12               deep             14               14               0.305912         7                5                4                13816.680244     2.000000         6908.340122      0.714286         3502.994130      14704142.441235  3834.598081      0.555068         1.000000        
13               deep             14               100              0.778768         64               10               4                13816.680244     2.000000         6908.340122      0.156250         4145.125539      19704558.549143  4438.981702      0.642554         1.000000        
14               deep             14               1000             6.142323         707              10               4                13816.680244     2.000000         6908.340122      0.014144         4145.125539      19704558.549143  4438.981702      0.642554         1.000000        
15               central          28               28               0.186997         17               4                3                13816.680244     2.000000         6908.340122      0.235294         4027.374934      16920288.417244  4113.427818      0.595429         1.000000        
16               central          28               100              0.637344         75               10               4                13816.680244     2.000000         6908.340122      0.133333         4145.125539      19704558.549143  4438.981702      0.642554         1.000000        
17               central          28               1000             5.849805         831              10               4                13816.680244     2.000000         6908.340122      0.012034         4145.125539      19704558.549143  4438.981702      0.642554         1.000000        
18               central          44               44               0.309393         34               6                3                13816.680244     2.000000         6908.340122      0.176471         3502.994130      12820740.633675  3580.606182      0.518302         1.000000        
19               central          44               100              0.655728         79               10               4                13816.680244     2.000000         6908.340122      0.126582         4145.125539      19704558.549143  4438.981702      0.642554         1.000000        
20               central          44               1000             5.895573         836              10               4                13816.680244     2.000000         6908.340122      0.011962         4145.125539      19704558.549143  4438.981702      0.642554         1.000000        
21               central          0                1000             6.148360         831              10               3                13816.680244     1.500000         9211.120163      0.012034         4757.905682      22070062.654606  4697.878527      0.510022         1.200466        
22               central          0                1000             6.043403         831              10               3                13816.680244     1.100000         12560.618403     0.012034         8001.105938      65329197.975751  8082.647956      0.643491         1.636999        
23               central          49               49               0.708368         37               7                4                13816.680244     2.000000         6908.340122      0.189189         4027.374934      18811227.628516  4337.191214      0.627820         1.000000        
24               central          49               100              0.590383         77               10               4                13816.680244     2.000000         6908.340122      0.129870         4145.125539      19704558.549143  4438.981702      0.642554         1.000000        
25               central          49               1000             3.284393         836              10               4                13816.680244     2.000000         6908.340122      0.011962         4145.125539      19704558.549143  4438.981702      0.642554         1.000000        
26               central          8                8                0.261950         5                4                4                13816.680244     2.000000         6908.340122      0.800000         4027.374934      18811227.628516  4337.191214      0.627820         1.000000        
27               central          8                100              0.710829         76               10               5                13816.680244     2.000000         6908.340122      0.131579         3502.994130      13983889.916684  3739.503967      0.541303         1.000000        
28               central          8                1000             3.706712         831              10               5                13816.680244     2.000000         6908.340122      0.012034         3502.994130      13983889.916684  3739.503967      0.541303         1.000000        
