id               cut              feas_iter        end_iter         runtime          num_conscuts     num_sol          used_sol         opt_welfare      alpha            exp_welfare      efficiency       abs_dev          var              std_dev          coeff_var        decomp_obj      
1                central          5                5                1.593750         3                3                3                13947.331459     2.000000         6973.665730      1.000000         5983.836449      35906925.598869  5992.238780      0.859267         1.000000        
2                central          5                100              23.466848        59               7                3                13947.331459     2.000000         6973.665730      0.118644         5742.116455      33072528.340659  5750.871964      0.824656         1.000000        
3                central          5                1000             261.702867       828              172              8                13947.331459     2.000000         6973.665730      0.207729         6038.676564      36783561.085035  6064.945266      0.869693         1.000000        
4                shallow          5                5                1.138156         3                3                3                13947.331459     2.000000         6973.665730      1.000000         5983.836449      35906925.598869  5992.238780      0.859267         1.000000        
5                shallow          5                100              25.752488        53               20               4                13947.331459     2.000000         6973.665730      0.377358         5935.039400      35293673.056073  5940.847840      0.851897         1.000000        
6                shallow          5                1000             244.284580       552              74               8                13947.331459     2.000000         6973.665730      0.134058         5854.997885      35304245.699126  5941.737599      0.852025         1.000000        
7                deep             19               19               4.635749         10               6                3                13947.331459     2.000000         6973.665730      0.600000         4484.450805      20210925.981543  4495.656346      0.644662         1.000000        
8                deep             19               100              22.849334        61               14               5                13947.331459     2.000000         6973.665730      0.229508         5849.918264      34994912.579685  5915.649802      0.848284         1.000000        
9                deep             19               1000             258.082353       809              261              10               13947.331459     2.000000         6973.665730      0.322621         5394.933930      29773812.394851  5456.538499      0.782449         1.000000        
11               central          0                0                0.000000         0                3                3                13947.331459     2.000000         6973.665730      Infinity         6731.945736      45419720.352771  6739.415431      0.966409         1.000000        
12               deep             6                6                1.620703         3                3                3                13947.331459     2.000000         6973.665730      1.000000         5983.836449      35906925.598869  5992.238780      0.859267         1.000000        
13               deep             6                100              17.045931        45               6                4                13947.331459     2.000000         6973.665730      0.133333         6750.954141      45661427.091903  6757.323959      0.968977         1.000000        
14               deep             6                1000             239.921195       753              169              9                13947.331459     2.000000         6973.665730      0.224436         5409.142582      29594293.694819  5440.063758      0.780087         1.000000        
15               central          76               76               20.255712        42               18               6                13947.331459     2.000000         6973.665730      0.428571         5634.463188      32381620.968885  5690.485126      0.815996         1.000000        
16               central          76               100              25.786309        58               29               4                13947.331459     2.000000         6973.665730      0.500000         5343.426466      28711216.048849  5358.284805      0.768360         1.000000        
17               central          76               1000             266.833422       823              125              8                13947.331459     2.000000         6973.665730      0.151883         5385.536644      29150352.184837  5399.106610      0.774214         1.000000        
21               central          9                9                2.683864         5                4                4                13947.331459     1.500000         9298.220973      0.800000         5538.927795      34652641.509478  5886.649430      0.633094         1.000000        
22               central          0                100              23.527341        59               7                3                13947.331459     1.100000         12679.392236     0.118644         2027.217517      12500306.834688  3535.577299      0.278844         1.000000        
26               central          5                5                1.541379         3                3                3                13947.331459     2.000000         6973.665730      1.000000         5983.836449      35906925.598869  5992.238780      0.859267         1.000000        
27               central          5                100              10.605891        59               7                3                13947.331459     2.000000         6973.665730      0.118644         5742.116455      33072528.340659  5750.871964      0.824656         1.000000        
28               central          5                1000             97.994262        828              172              4                13947.331459     2.000000         6973.665730      0.207729         4286.404190      18439673.978190  4294.144150      0.615766         1.000000        
