no             hash           iter           num_dupl       lambda         welfare        [solution] [dupl]
1              992            2              22             0.500000       6575.619016    [1 0] [7 10 15 19 24 28 33 37 42 46 51 55 60 64 69 73 78 82 87 91 96 100]
2              962            4              21             0.326276       11092.856803   [0 1] [9 13 18 22 27 31 36 40 45 49 54 58 63 67 72 76 81 85 90 94 99]
3              961            6              20             0.173724       0.000000       [0 0] [12 16 21 25 30 34 39 43 48 52 57 61 66 70 75 79 84 88 93 97]
