no             hash           iter           num_dupl       lambda         welfare        [solution] [dupl]
1              992            4              25             0.500000       6575.619016    [1 0] [7 10 14 18 22 26 30 34 38 42 46 50 51 58 62 64 70 71 78 79 83 90 91 97 99]
2              962            5              23             0.326276       11092.856803   [0 1] [8 13 15 19 24 27 31 36 39 43 47 54 55 59 63 67 72 75 80 84 88 92 96]
3              961            11             22             0.173724       0.000000       [0 0] [17 21 25 29 33 37 41 45 49 53 56 61 66 68 74 76 82 86 87 94 95 100]
