no             hash           iter           num_dupl       lambda         welfare        [solution] [dupl]
1              992            2              130            0.500000       6575.619016    [1 0] [5 9 12 16 20 24 26 31 34 40 41 45 52 53 57 63 65 69 76 77 81 85 90 93 100 101 105 109 114 117 121 125 129 133 137 141 145 149 153 158 160 165 168 174 179 180 184 188 192 196 201 207 208 212 216 221 224 229 232 237 240 244 250 252 256 261 264 268 271 277 279 286 287 291 297 299 303 307 314 315 319 323 328 333 335 339 345 347 351 357 359 363 367 372 375 379 385 387 391 395 400 402 406 413 414 418 424 426 430 435 439 442 447 453 454 458 462 467 470 476 478 482 486 490 495 498 502 508 510 513]
2              962            3              128            0.326276       11092.856803   [0 1] [8 11 15 19 22 27 30 35 38 43 47 50 55 59 61 67 70 74 79 82 88 89 94 98 102 107 112 113 118 122 126 130 134 138 142 146 150 155 157 162 166 171 172 176 182 186 190 193 199 200 204 209 213 219 220 226 228 234 236 241 245 249 253 258 260 265 269 274 275 281 283 289 294 295 301 304 310 311 316 320 326 327 331 336 341 343 348 352 355 360 364 369 371 376 380 383 388 392 397 399 404 408 410 416 421 422 428 433 434 438 445 446 450 455 459 465 466 471 474 479 484 487 492 494 499 503 506 511]
3              961            6              126            0.173724       0.000000       [0 0] [13 18 23 28 32 36 39 44 48 51 56 60 64 68 72 73 80 84 86 92 96 97 104 106 110 115 119 124 127 131 135 139 143 147 151 154 159 163 167 170 175 178 183 187 191 195 197 203 205 211 215 217 223 225 231 233 238 242 247 248 254 257 262 266 270 273 278 282 285 290 293 298 302 306 309 312 318 322 324 330 332 338 340 344 350 353 356 361 365 368 373 377 381 384 389 393 396 401 405 409 412 417 420 425 429 432 437 441 443 449 451 457 461 463 468 473 475 481 483 488 491 496 500 504 507 512]
