id               cut              feas_iter        end_iter         runtime          num_conscuts     num_sol          used_sol         opt_welfare      alpha            exp_welfare      efficiency       abs_dev          var              std_dev          coeff_var        decomp_obj      
1                central          6                6                0.200546         4                3                3                13814.295186     2.000000         6907.147593      0.750000         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
2                central          6                100              0.383775         74               3                3                13814.295186     2.000000         6907.147593      0.040541         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
3                central          6                514              1.040856         387              3                3                13814.295186     2.000000         6907.147593      0.007752         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
4                shallow          10               10               0.016225         6                3                3                13814.295186     2.000000         6907.147593      0.500000         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
5                shallow          10               100              0.146575         69               3                3                13814.295186     2.000000         6907.147593      0.043478         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
6                shallow          10               1000             1.491650         744              3                3                13814.295186     2.000000         6907.147593      0.004032         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
7                deep             6                6                0.009590         3                3                3                13814.295186     2.000000         6907.147593      1.000000         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
8                deep             6                100              0.151808         66               3                3                13814.295186     2.000000         6907.147593      0.045455         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
9                deep             6                128              0.171510         84               3                3                13814.295186     2.000000         6907.147593      0.035714         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
11               central          0                0                0.000000         0                3                3                13814.295186     2.000000         6907.147593      Infinity         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
12               deep             6                6                0.220840         3                3                3                13814.295186     2.000000         6907.147593      1.000000         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
13               deep             6                100              0.338261         57               3                3                13814.295186     2.000000         6907.147593      0.052632         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
14               deep             6                165              0.595200         95               3                3                13814.295186     2.000000         6907.147593      0.031579         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
15               central          11               11               0.023294         6                3                3                13814.295186     2.000000         6907.147593      0.500000         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
16               central          11               100              0.224473         73               3                3                13814.295186     2.000000         6907.147593      0.041096         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
17               central          11               512              0.973822         384              3                3                13814.295186     2.000000         6907.147593      0.007813         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
18               central          14               14               0.037780         10               3                3                13814.295186     2.000000         6907.147593      0.300000         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
19               central          14               100              0.238440         75               3                3                13814.295186     2.000000         6907.147593      0.040000         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
20               central          14               515              0.796002         388              3                3                13814.295186     2.000000         6907.147593      0.007732         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
21               central          0                514              0.851893         387              3                2                13814.295186     1.500000         9209.530124      0.007752         2575.254296      6168026.899954   2483.551268      0.269672         1.101702        
22               central          0                514              0.789388         387              3                2                13814.295186     1.100000         12558.450169     0.007752         6308.371267      33814480.683311  5815.021985      0.463037         1.502321        
26               central          2                2                0.076193         1                1                1                0.000000         2.000000         0.000000         1.000000         0.000000         0.000000         0.000000         NaN              1.000000        
27               central          2                2                0.008126         1                1                1                0.000000         2.000000         0.000000         1.000000         0.000000         0.000000         0.000000         NaN              1.000000        
28               central          2                2                0.007702         1                1                1                0.000000         2.000000         0.000000         1.000000         0.000000         0.000000         0.000000         NaN              1.000000        
26               central          6                6                0.215946         4                3                3                13814.295186     2.000000         6907.147593      0.750000         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
27               central          6                100              0.400189         74               3                3                13814.295186     2.000000         6907.147593      0.040541         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
28               central          6                514              0.934926         387              3                3                13814.295186     2.000000         6907.147593      0.007752         2731.396795      14059493.949744  3749.599172      0.542858         1.000000        
