no             hash           iter           num_dupl       lambda         welfare        [solution] [dupl]
1              992            2              25             0.500000       6575.619016    [1 0] [5 9 12 16 20 24 26 31 34 40 41 45 52 53 57 63 65 69 76 77 81 85 90 93 100]
2              962            3              24             0.326276       11092.856803   [0 1] [8 11 15 19 22 27 30 35 38 43 47 50 55 59 61 67 70 74 79 82 88 89 94 98]
3              961            6              22             0.173724       0.000000       [0 0] [13 18 23 28 32 36 39 44 48 51 56 60 64 68 72 73 80 84 86 92 96 97]
