no             hash           iter           num_dupl       lambda         welfare        [solution] [dupl]
1              992            2              1              0.500000       6575.619016    [1 0] [5]
2              962            3              0              0.326276       11092.856803   [0 1] []
3              961            6              0              0.173724       0.000000       [0 0] []
