no             hash           iter           num_dupl       lambda         welfare        [solution] [dupl]
1              992            4              2              0.500000       6575.619016    [1 0] [7 10]
2              962            5              1              0.326276       11092.856803   [0 1] [8]
3              961            11             0              0.173724       0.000000       [0 0] []
