no             hash           iter           num_dupl       lambda         welfare        [solution] [dupl]
1              992            1              26             0.500000       6575.619016    [1 0] [3 7 10 13 17 19 25 29 31 37 41 43 49 51 57 58 65 66 70 76 78 82 88 90 95 98]
2              962            2              25             0.326276       11092.856803   [0 1] [5 9 11 16 21 24 28 33 36 39 45 47 53 55 61 62 68 73 74 79 84 86 92 94 100]
3              961            14             21             0.173724       0.000000       [0 0] [18 22 26 30 34 38 42 46 50 54 59 63 67 71 75 80 83 87 91 96 99]
