no             hash           iter           num_dupl       lambda         welfare        [solution] [dupl]
1              992            2              26             0.500000       6575.619016    [1 0] [5 9 12 15 19 23 26 31 34 38 40 44 47 51 55 58 62 66 70 74 77 81 85 89 93 98]
2              962            3              24             0.326276       11092.856803   [0 1] [7 14 17 20 25 28 32 37 41 45 48 53 57 61 64 68 72 76 80 84 87 91 95 99]
3              961            10             16             0.173724       0.000000       [0 0] [22 29 35 43 50 54 59 65 69 73 79 83 88 92 96 100]
